CUI|STR
C0000737|abdominal pain
C0000737|pain abdominal
C0000737|abdominal pains
C0000737|abdominal pain nos
C0000737|pains abdominal
C0000737|stomach pain
C0000737|pain in stomach
C0000737|abdominal pain unspecified site
C0000737| d abdominal pain
C0000737| d abdominal pain nos
C0000737|ap  abdominal pain
C0000737|abd pain
C0000737|abdo pain
C0000737|pain abdo
C0000737|gut pain
C0000737|abdomen pain
C0000737| d abdominal pain nos context dependent category 
C0000737| d abdominal pain context dependent category 
C0000737|abdominal pain finding 
C0000737|abdominalgia
C0000737| d abdominal pain situation 
C0000737| d abdominal pain nos situation 
C0000737|abdmnal pain unspcf site
C0000737|abdominal pain symptom 
C0000737|bellyache
C0000737|unspecified abdominal pain
C0000768|congenital abnormality
C0000768|abnormalities congenital
C0000768|congenital abnormalities
C0000768|congenital abnormality nos
C0000768|abnormality congenital
C0000768|abnormalities
C0000768|abnormality
C0000768|birth defects
C0000768|birth defect
C0000768|defect birth
C0000768|congenital anomaly
C0000768|anomaly congenital
C0000768|congenital anomaly nos
C0000768|congenital anomalies
C0000768|congenital defects
C0000768|congenital defect
C0000768|defect congenital
C0000768|congenital defect nos
C0000768|defects congenital
C0000768|congenital malformation
C0000768|congenital malformation nos
C0000768|congenital malformations
C0000768|developmental anomaly nos
C0000768|developmental anomaly
C0000768|developmental defect nos
C0000768|developmental defect
C0000768|developmental malformation nos
C0000768|developmental malformation
C0000768|developmental malformations
C0000768|dysgenesis nos
C0000768|dysgenesis
C0000768|anomaly
C0000768|malformation nos
C0000768|malformations
C0000768|malformation
C0000768|abnormal development nos
C0000768|abnormal development
C0000768|congenital anomalies of fetus
C0000768|anomalous formation nos
C0000768|anomalous formation
C0000768|anomaly anomaly congen
C0000768|congenital anomaly unspecified
C0000768|dysmorphisms
C0000768|dysmorphism
C0000768|fetal development abnormality
C0000768|fetal developmental abnormality
C0000768|foetal developmental abnormality
C0000768|congenital malformation unspecified
C0000768|fetal malformation
C0000768|foetal malformation
C0000768|developmental abnormality
C0000768|cm  congenital malformation
C0000768|section 2 congenital anomalies
C0000768|congenital deformity
C0000768|deformity congenital
C0000768|congenital deformity nos
C0000768|deformities
C0000768|deformity
C0000768|developmental disturbance
C0000768|fetal anomaly
C0000768|congenital anomaly morphologic abnormality 
C0000768|developmental anomaly morphologic abnormality 
C0000768|congenital deformity morphologic abnormality 
C0000768|congenital malformation morphologic abnormality 
C0000768|congenital anomaly disorder 
C0000768|congenital anomaly nos disorder 
C0000768|congenital deformity disorder 
C0000768|congenital malformation disorder 
C0000768|congenital anatomic abnormality
C0000768|congenital anatomical abnormality
C0000768|congenital defect deformity
C0000768|defect deformity congenital
C0000768|congen defects
C0000768|defects congen
