CUI1|CUI2
C0000737|C0291771
C0000737|C0291772
C0000737|C2714632
C0000737|C4704592
C0000768|C0718043
C0000771|C0003830
C0000771|C0004261
C0000771|C0005098
C0000771|C0013615
C0000771|C0013617
C0000771|C0017970
C0000771|C0022939
C0000771|C0022940
C0000771|C0027679
C0000771|C0027680
C0000771|C0031849
C0000771|C0031862
C0000771|C0034261
C0000771|C0034262
C0000771|C0041009
C0000771|C0042878
C0000771|C0053156
C0000771|C0053526
C0000771|C0071002
C0000771|C0071016
C0000771|C0106169
C0000771|C0282261
C0000771|C0304422
C0000771|C0317591
C0000771|C0317592
C0000771|C0317593
C0000771|C0317597
C0000771|C0317608
C0000771|C0317614
C0000771|C0317625
C0000771|C0357701
C0000771|C0596004
C0000771|C0772177
C0000771|C3661459
C0000771|C3848530
C0000771|C5443862
C0000810|C0007047
C0000810|C0054721
C0000833|C0007555
C0000833|C0007557
C0000833|C0025872
C0000833|C0282239
C0000833|C0353490
C0000833|C0700446
C0000833|C0700471
C0000880|C0022625
C0001122|C0003765
C0001122|C0041175
C0001122|C0052327
C0001122|C0142785
C0001122|C0142874
C0001122|C0301556
C0001122|C0376259
C0001122|C0887700
C0001122|C2699543
C0001122|C2699547
C0001122|C2937701
C0001122|C3256457
C0001126|C0055819
C0001126|C0074722
C0001126|C0137996
C0001126|C0724556
C0001126|C0724674
C0001126|C0724696
C0001126|C0725616
C0001126|C3665261
C0001126|C4704493
C0001139|C0002499
C0001139|C0002501
C0001139|C0007554
C0001139|C0007559
C0001139|C0007560
C0001139|C0007561
C0001139|C0022487
C0001139|C0022489
C0001139|C0038665
C0001139|C0055003
C0001139|C0282355
C0001139|C0282391
C0001139|C0617131
C0001139|C0700445
C0001139|C0700527
C0001139|C0700540
C0001139|C0724548
C0001139|C0770649
C0001139|C0771284
C0001139|C2697837
C0001139|C2983899
C0001144|C0005088
C0001144|C0008947
C0001144|C0011276
C0001144|C0014806
C0001144|C0014809
C0001144|C0014810
C0001144|C0014813
C0001144|C0017449
C0001144|C0019435
C0001144|C0022265
C0001144|C0026186
C0001144|C0026187
C0001144|C0028356
C0001144|C0030092
C0001144|C0036075
C0001144|C0036079
C0001144|C0037549
C0001144|C0038774
C0001144|C0039644
C0001144|C0040845
