CUI|STR
C0000294|mesna
C0000294|product containing mesna (medicinal product)
C0000294|product containing mesna
C0000294|mesna product
C0000294|mesna (product)
C0000294|mesna (substance)
C0000294|msa
C0000294|mesna (medication)
C0000378|droxidopa
C0000378|droxidopa (medication)
C0000378|product containing droxidopa
C0000378|product containing droxidopa (medicinal product)
C0000378|droxidopa product
C0000378|droxidopa (product)
C0000378|droxidopa (substance)
C0000392|beta-alanine
C0000392|.beta.-alanine
C0000392|beta alanine (substance)
C0000392|aminopropionic acid 03
C0000473|4-aminobenzoic acid
C0000473|aminobenzoic acid
C0000473|aminobenzoic acid p
C0000473|para-aminobenzoic acid
C0000473|vitamin b>x<
C0000473|product containing para-aminobenzoic acid
C0000473|product containing para-aminobenzoic acid (medicinal product)
C0000473|para-aminobenzoic acid (paba)
C0000473|aminobenzoic acid (substance)
C0000473|para-aminobenzoic acid product
C0000473|para-aminobenzoic acid (product)
C0000473|para-aminobenzoic acid (substance)
C0000473|vitamin b<sub>x</sub>
C0000473|paraaminobenzoic acid
C0000473|aminobenzoic acid a 04
C0000473|aminobenzoic acid (medication)
C0000477|dalfampridine
C0000477|4-aminopyridine
C0000477|dalfampridine (medication)
C0000477|fampridina
C0000477|fampridinum
C0000477|fampridine (4-aminopyridine)
C0000477|product containing 4-aminopyridine (medicinal product)
C0000477|4-aminopyridine-containing product
C0000477|product containing 4-aminopyridine
C0000477|fampridine (substance)
C0000477|product containing fampridine (medicinal product)
C0000477|4-aminopyridine (substance)
C0000477|4-aminopyridine product
C0000477|4-aminopyridine (product)
C0000477|fampridine
C0000477|aminopyridine 04
C0000503|oxybate
C0000503|gamma-hydroxybutyrate
C0000503|4-hydroxybutyrate (substance)
C0000503|gamma-hydroxybutyrate (substance)
C0000598|ticlopidine hydrochloride
C0000598|ticlopidine hcl (medication)
C0000598|product containing ticlopidine hydrochloride (medicinal product)
C0000598|product containing ticlopidine hydrochloride
C0000598|ticlopidine hcl
C0000598|ticlopidine hydrochloride (substance)
C0000598|ticlopidine hydrochloride (product)
C0000608|6-aminocaproic acid
C0000608|aminocaproic acid
C0000608|acidum aminocaproicum
C0000608|aminocapronsäure
C0000608|Ácido aminocapróico
C0000608|acide aminocaproïque
C0000608|product containing aminocaproic acid
C0000608|product containing aminocaproic acid (medicinal product)
C0000608|aminocaproic acid - chemical
C0000608|aminocaproic acid - chemical (product)
C0000608|aminocaproic acid - chemical (substance)
C0000608|aminocaproic acid product
C0000608|aminocaproic acid (product)
C0000608|aminocaproic acid (substance)
C0000608|aminocaproic acid 06
C0000608|aminohexanoic acid 06
C0000608|aminocaproic acid (medication)
C0000618|mercaptopurine
C0000618|6mp
C0000618|product containing mercaptopurine
C0000618|product containing mercaptopurine (medicinal product)
C0000618|mercaptopurine product
C0000618|mercaptopurine (product)
C0000618|mercaptopurine (substance)
C0000618|mp
C0000618|mercaptopurina
C0000618|mercaptopurinum
C0000618|mercaptopurine a 06
C0000618|6-mercaptopurine (medication)
C0000946|acebutolol
C0000946|acebutololum
C0000946|product containing acebutolol
C0000946|product containing acebutolol (medicinal product)
C0000946|acebutolol - chemical
C0000946|acebutolol - chemical (substance)
C0000946|acebutolol product
C0000946|acebutolol (product)
C0000946|acebutolol (substance)
C0000970|acetaminophen
C0000970|paracetamol
C0000970|paracétamol
C0000970|acmp
C0000970|acetaminofén
C0000970|paracetamolum
C0000970|product containing acetaminophen
C0000970|product containing paracetamol (medicinal product)
C0000970|product containing paracetamol
C0000970|apap (obsolete)
C0000970|acetaminophen product
C0000970|acetaminophen (product)
C0000970|acetaminophen (substance)
C0000970|paracetamol (substance)
C0000970|acetaminophen (medication)
C0000970|paracetamol - chemical (substance)
C0000973|acetanilide
C0000973|n-phenylacetamide (substance)
C0000981|acetazolamide
C0000981|acétazolamide
C0000981|acetazolamide [epilepsy]
C0000981|acetazolamide [glaucoma]
C0000981|acetazolamida
C0000981|acetazolamidum
C0000981|acetazolamid
C0000981|product containing acetazolamide
C0000981|product containing acetazolamide (medicinal product)
C0000981|acetazolamide - chemical
C0000981|acetazolamide - chemical (substance)
C0000981|acetazolamide [epilepsy] (product)
C0000981|acetazolamide [epilepsy] (substance)
C0000981|acetazolamide [glaucoma] (product)
C0000981|acetazolamide [glaucoma] (substance)
C0000981|acetazolamide product
C0000981|acetazolamide (product)
C0000981|acetazolamide (substance)
C0000981|acetazolamide (medication)
C0000983|acetic acid
C0000983|acetic acid,
C0000983|acetic acid,glacial
C0000983|acetic acid, glacial
C0000983|acetic acid otic
C0000983|essigsäure
C0000983|acide acétique
C0000983|aceticum acidum
C0000983|product containing acetic acid (medicinal product)
C0000983|product containing acetic acid
C0000983|ácido acético
C0000983|product containing glacial acetic acid (medicinal product)
C0000983|product containing acetic acid in conventional release solution for irrigation (medicinal product form)
C0000983|acetic acid - chemical
C0000983|acetic acid [ear]
C0000983|acetic acid [ear] (product)
C0000983|acetic acid [ear] (substance)
C0000983|acetic acid product (product)
C0000983|acetic acid product (substance)
C0000983|acetic acid (substance)
C0000983|ethanoic acid -retired-
C0000983|glacial acetic acid (substance)
C0000983|acetic acid (otic) (medication)
C0000983|glacial acetic acid (otic) (medication)
C0000983|ethanoic acid (substance)
C0000983|acetic acid - chemical (substance)
C0000992|acetohexamide
C0000992|acétohexamide
C0000992|acetohexamid
C0000992|acetohexamida
C0000992|acetohexamidum
C0000992|product containing acetohexamide (medicinal product)
C0000992|product containing acetohexamide
C0000992|acetohexamide - chemical
C0000992|acetohexamide product
C0000992|acetohexamide (product)
C0000992|acetohexamide (substance)
C0000992|acetylcholine chloride - chemical
C0000992|acetohexamide (medication)
C0000992|acetohexamide - chemical (substance)
C0000992|acetylcholine chloride - chemical (substance)
C0001040|acetylcarnitine
C0001040|acetylcarnitine, l-
C0001040|acetylcarnitine (substance)
C0001040|acetyl carnitine
C0001040|acetyl carnitine (substance)
C0001041|acetylcholine
C0001041|product containing acetylcholine (medicinal product)
C0001041|product containing acetylcholine
C0001041|acetylcholine product
C0001041|acetylcholine preparation (product)
C0001041|acetylcholine preparation (substance)
C0001041|acetylcholine (substance)
C0001047|acetylcysteine
C0001047|acetylcysteine [eyes]
C0001047|acetylcysteine [paracet pois]
C0001047|acetylcysteine [resp]
C0001047|acetylcysteine [paracetamol poisoning treatment]
C0001047|acetylcysteine [respiratory use]
C0001047|acetylcysteinum
C0001047|acetilcisteina
C0001047|product containing acetylcysteine (medicinal product)
C0001047|product containing acetylcysteine
C0001047|acetylcysteine - chemical
C0001047|acetylcysteine [eyes] (product)
C0001047|acetylcysteine [eyes] (substance)
C0001047|acetylcysteine [paracetamol poisoning treatment] (product)
C0001047|acetylcysteine [paracetamol poisoning treatment] (substance)
C0001047|acetylcysteine product
C0001047|acetylcysteine (product)
C0001047|acetylcysteine [respiratory use] (product)
C0001047|acetylcysteine [respiratory use] (substance)
C0001047|acetylcysteine (substance)
C0001047|n-acetyl cysteine
C0001047|acetylcysteine (medication)
C0001047|acetylcysteine - chemical (substance)
C0001047|acetylcysteine as mucolytic (medication)
C0001268|spectinomycin
C0001268|actinospectacina
C0001268|espectinomicina
C0001268|spectinomicina
C0001268|spectinomycine
C0001268|spectinomycinum
C0001268|product containing spectinomycin
C0001268|product containing spectinomycin (medicinal product)
C0001268|spectinomycin product
C0001268|spectinomycin (product)
C0001268|spectinomycin (substance)
C0001275|activated charcoal
C0001275|charcoal,activated
C0001275|active carbon
C0001275|decolourising carbon
C0001275|medicinal charcoal
C0001275|carbo activatus
C0001275|carbo activates
C0001275|product containing activated charcoal (medicinal product)
C0001275|product containing activated charcoal
C0001275|carbono
C0001275|carbón activado
C0001275|activated charcoal - chemical
C0001275|activated charcoal product
C0001275|activated charcoal (product)
C0001275|activated charcoal (substance)
C0001275|charcoal medicinal vegetable
C0001275|activated charcoal (medication)
C0001275|activated charcoal (disorder)
C0001275|activated charcoal - chemical (substance)
C0001367|acyclovir
C0001367|aciclovir
C0001367|acv
C0001367|aciclovir [eyes]
C0001367|acyclovir [eyes]
C0001367|aciclovir [skin]
C0001367|acyclovir [skin]
C0001367|aciclovir [systemic]
C0001367|acyclovir [systemic]
C0001367|aciclovirum
C0001367|product containing aciclovir (medicinal product)
C0001367|acyclovir in ophthalmic dosage form
C0001367|aciclovir in ophthalmic dosage form
C0001367|product containing aciclovir in ophthalmic dosage form (medicinal product form)
C0001367|product containing aciclovir in ophthalmic dosage form
C0001367|product containing acyclovir in ophthalmic dosage form
C0001367|product containing acyclovir
C0001367|product containing aciclovir
C0001367|aciclovir - chemical
C0001367|aciclovir [eyes] (product)
C0001367|aciclovir [eyes] (substance)
C0001367|acyclovir product
C0001367|aciclovir product
C0001367|acyclovir (product)
C0001367|aciclovir [skin] (product)
C0001367|aciclovir [systemic] (product)
C0001367|aciclovir [skin] (substance)
C0001367|aciclovir (substance)
C0001367|acyclovir (substance)
C0001367|aciclovir [systemic] (substance)
C0001367|ophthalmic form aciclovir
C0001367|ophthalmic form acyclovir
C0001367|ophthalmic form acyclovir (product)
C0001367|acyclovir (medication)
C0001367|aciclovir - chemical (substance)
C0001407|adenine
C0001407|vitamin b<sub>4</sub> (substance)
C0001407|vitamin b<sub>4</sub>
C0001407|vitamin b>4< (substance)
C0001407|adenine (substance)
C0001407|vitamin b4 (substance)
C0001407|vitamin b a 04
C0001443|adenosine
C0001443|adénosine
C0001443|adenosina
C0001443|adenosinum
C0001443|adenosin
C0001443|product containing adenosine
C0001443|product containing adenosine (medicinal product)
C0001443|adenosine agent
C0001443|adenosine agent (product)
C0001443|adenosine - chemical
C0001443|adenosine preparation
C0001443|adenosine preparation (product)
C0001443|adenosine preparation (substance)
C0001443|adenosine (substance)
C0001443|adenosine (medication)
C0001443|adenosine - chemical (substance)
C0001465|adenosine monophosphate
C0001465|adenosine phosphate
C0001465|adenosine-5 monophosphate
C0001465|adenosine-5-monophosphate
C0001465|adenosini phosphas
C0001465|fosfato de adenosina
C0001465|phosphate d'adénosine
C0001465|adenylic acid (substance)
C0001465|adenosine phosphate (substance)
C0001480|adenosine triphosphate
C0001480|adenosine 5'-triphosphate (substance)
C0001480|adenosine triphosphate (substance)
C0001636|epinephrine hydrochloride
C0001636|epinephrine hcl
C0001636|epinephrine hydrochloride (substance)
C0001636|epinephrine hydrochloride (product)
C0001655|corticotropin
C0001655|corticotropins
C0001655|adrenocorticotropic hormone
C0001655|corticotropic hormone
C0001655|acth-adrenocorticotrophic horm
C0001655|adrenocorticotropic peptide
C0001655|adrenotrophin
C0001655|adrenotropin
C0001655|adrenotropic hormone
C0001655|corticotropin, repository
C0001655|acth adrenocorticotropic hormone (medication)
C0001655|adrenocorticotropic hormone (substance)
C0001655|corticotropin preparation (product)
C0001655|corticotropin preparation (substance)
C0001655|corticotrophins (product)
C0001655|corticotrophins (substance)
C0001655|cctrop
C0001655|adrenocorticotropic hormone (medication)
C0001714|polymyxin b sulfate
C0001714|polymyxin b sulphate
C0001714|polymyxin b sulph [eye]
C0001714|polymyxin b sulph [systemic]
C0001714|polymyxin b sulphate [skin]
C0001714|polymyxin b sulfate [skin]
C0001714|polymyxin b sulf [eye] (product)
C0001714|polymyxin b sulf [eye] (substance)
C0001714|polymyxin b sulf [eye]
C0001714|polymyxin b sulfate [skin] (product)
C0001714|polymyxin b sulf [systemic] (product)
C0001714|polymyxin b sulfate [skin] (substance)
C0001714|polymyxin b sulf [systemic] (substance)
C0001714|polymyxin b sulfate (substance)
C0001714|polymyxin b sulf [systemic]
C0001714|polymyxin b sulfate (medication)
C0001898|alanine
C0001898|l-alanin
C0001898|alanina
C0001898|alaninum
C0001898|2-aminopropionic acid
C0001898|alpha-aminopropionic acid
C0001898|l-alanine (substance)
C0001898|alanine (substance)
C0001898|alanine (medication)
C0001911|albendazole
C0001911|albendazolum
C0001911|albendazol
C0001911|product containing albendazole
C0001911|product containing albendazole (medicinal product)
C0001911|albendazole - chemical
C0001911|albendazole product
C0001911|albendazole (product)
C0001911|albendazole (substance)
C0001911|albendazole (medication)
C0001911|albendazole - chemical (substance)
C0001927|albuterol
C0001927|salbutamol
C0001927|salbutamol [obstetric]
C0001927|product containing salbutamol
C0001927|product containing albuterol
C0001927|salbutamol (substance)
C0001927|product containing salbutamol (medicinal product)
C0001927|salbutamolum
C0001927|salbutamol [inhalation preparations 2] (product)
C0001927|salbutamol [inhalation preparations 2]
C0001927|salbutamol [inhalation preparations 2] (substance)
C0001927|albuterol product
C0001927|albuterol (product)
C0001927|albuterol (substance)
C0001927|salbutamol [obstetric] (product)
C0001927|salbutamol [obstetric] (substance)
C0001927|albuterol (medication)
C0001962|ethanol
C0001962|éthanol
C0001962|ethyl alcohol
C0001962|alcohol,ethyl
C0001962|alcohol
C0001962|etoh
C0001962|Äthylalkohol
C0001962|alcool éthylique
C0001962|alkohol
C0001962|Äthanol
C0001962|alcohol etílico
C0001962|spiritus vini
C0001962|etanol
C0001962|product containing ethanol (medicinal product)
C0001962|product containing ethanol
C0001962|ethyl alcohol-containing product
C0001962|product containing ethyl alcohol
C0001962|product containing ethyl alcohol (medicinal product)
C0001962|ethanol (substance)
C0001962|ethyl alcohol product
C0001962|ethyl alcohol (product)
C0001962|ethyl alcohol (substance)
C0002083|allantoin
C0002083|product containing allantoin
C0002083|product containing allantoin (medicinal product)
C0002083|alantoína
C0002083|allantoin (substance)
C0002083|allantoin product
C0002083|allantoin (product)
C0002083|allantoin (medication)
C0002083|allantoin (vaginal) (medication)
C0002144|allopurinol
C0002144|allopurinolum
C0002144|alopurinol
C0002144|product containing allopurinol
C0002144|product containing allopurinol (medicinal product)
C0002144|allopurinol sodium (as allopurinol)
C0002144|allopurinol - chemical
C0002144|allopurinol - chemical (substance)
C0002144|allopurinol product
C0002144|allopurinol (product)
C0002144|allopurinol (substance)
C0002144|4'-hpp
C0002144|allopurinol (medication)
C0002260|eflornithine
C0002260|product containing eflornithine (medicinal product)
C0002260|product containing eflornithine
C0002260|eflornithine product
C0002260|eflornithine (product)
C0002260|eflornithine (substance)
C0002333|alprazolam
C0002333|product containing alprazolam (medicinal product)
C0002333|product containing alprazolam
C0002333|alprazolam - chemical
C0002333|alprazolam product
C0002333|alprazolam (product)
C0002333|alprazolam (substance)
C0002333|alprazolam (medication)
C0002333|alprazolam - chemical (substance)
C0002334|alprenolol
C0002334|alprénolol
C0002334|alprenololum
C0002334|alprenolol (substance)
C0002335|alprostadil
C0002335|alprostadil [erectile dysfunc]
