CUI,STR
C0000294,mesna
C0000378,droxidopa
C0000392,beta-alanine
C0000473,4-aminobenzoic acid
C0000477,dalfampridine
C0000503,oxybate
C0000598,ticlopidine hydrochloride
C0000608,6-aminocaproic acid
C0000618,mercaptopurine
C0000946,acebutolol
C0000970,acetaminophen
C0000973,acetanilide
C0000981,acetazolamide
C0000983,acetic acid
C0000992,acetohexamide
C0001040,acetylcarnitine
C0001041,acetylcholine
C0001047,acetylcysteine
C0001268,spectinomycin
C0001275,activated charcoal
C0001367,acyclovir
C0001407,adenine
C0001443,adenosine
C0001465,adenosine monophosphate
C0001480,adenosine triphosphate
C0001636,epinephrine hydrochloride
C0001655,corticotropin
C0001714,polymyxin b sulfate
C0001898,alanine
C0001911,albendazole
C0001927,albuterol
C0001962,ethanol
C0002083,allantoin
C0002144,allopurinol
C0002260,eflornithine
C0002333,alprazolam
C0002334,alprenolol
C0002335,alprostadil
C0002371,aluminum hydroxide
C0002372,aluminum hydroxide gel
C0002403,amantadine
C0002404,amantadine sulfate
C0002412,ambenonium
C0002413,ambenonium chloride
C0002435,amdinocillin
C0002475,mitomycin
C0002499,amikacin
C0002501,amikacin sulfate
C0002502,amiloride
C0002555,aminoglutethimide
C0002563,aminolevulinic acid
C0002575,aminophylline
C0002598,amiodarone
C0002600,amitriptyline
C0002615,ammonium chloride
C0002640,amobarbital
C0002644,amoxapine
C0002645,amoxicillin
C0002658,amphetamine
C0002679,amphotericin b
C0002680,ampicillin
C0002697,inamrinone
C0002711,amyl nitrite
C0002860,androstenedione
C0003009,angiotensin ii
C0003143,antazoline
C0003144,antazoline phosphate
C0003166,anthralin
C0003420,antipyrine
C0003596,apomorphine
C0003641,aprotinin
C0003765,arginine
C0003818,arsenic
C0003830,trihexyphenidyl hydrochloride
C0003968,ascorbic acid
C0003993,asparaginase
C0004011,aspartate magnesium hydrochloride
C0004015,aspartic acid
C0004037,aspergillus fumigatus
C0004057,aspirin
C0004147,atenolol
C0004259,atropine
C0004261,hyoscyamine sulfate
C0004320,auranofin
C0004475,azacitidine
C0004482,azathioprine
C0004499,azlocillin
C0004521,aztreonam
C0004599,bacitracin
C0004609,baclofen
C0004743,barbital
C0004905,beclomethasone
C0004906,beclomethasone dipropionate
C0004954,belladonna alkaloids
C0004963,diphenhydramine hydrochloride
C0004975,bendroflumethiazide
C0005013,benperidol
C0005038,lindane
C0005059,benzocaine
C0005088,benzoyl peroxide
C0005096,benzphetamine
C0005098,benztropine
C0005100,benzyl alcohol
C0005116,bepridil
C0005304,betaine
C0005308,betamethasone
C0005310,betamethasone acetate
C0005311,betamethasone benzoate
C0005320,betaxolol
C0005404,bile salts
C0005575,biotin
C0005578,biperiden
C0005632,bisacodyl
C0005640,dicumarol
C0005642,bismuth
C0005739,bleomycin sulfate
C0005740,bleomycin
C0006020,boric acid
C0006050,botulinum toxin type a
C0006051,botulinum toxin type b
C0006168,bretylium tosylate
C0006213,bromazepam
C0006230,bromocriptine
C0006246,brompheniramine
C0006376,bumetanide
C0006388,levobunolol
C0006400,bupivacaine
C0006403,bupranolol
C0006405,buprenorphine
C0006462,buspirone
C0006463,busulfan
C0006464,butabarbital
C0006466,butacaine
C0006491,butorphanol
C0006644,caffeine
C0006668,calcitonin
C0006674,calcitriol
C0006681,calcium carbonate
C0006686,calcium chloride
C0006692,edetate calcium disodium
C0006699,calcium gluconate
C0006700,calcium glycerophosphate
C0006710,calcium pantothenate
C0006711,calcium phosphate
C0006724,calcium valproate
C0006809,camphor
C0006837,candida albicans
C0006863,cannabidiol
C0006886,cantharidin
C0006920,capreomycin sulfate
C0006931,capsaicin
C0006938,captopril
C0006945,carbachol
C0006949,carbamazepine
C0006976,carbenicillin
C0006982,carbidopa
C0007047,carboprost
C0007068,carboxymethylcellulose
C0007072,glucarpidase
C0007248,carisoprodol
C0007257,carmustine
C0007258,carnitine
C0007299,carteolol
C0007300,articaine hydrochloride
C0007332,caseins
C0007537,cefaclor
C0007538,cefadroxil
C0007541,cefamandole
C0007545,cefatrizine
