CUI1,STR1,CUI2,STR2
c0000737,abdominal pains,c0291771,alosetron hydrochloride
c0000737,abdominal pain nos,c0291771,alosetron hydrochloride
c0000737,abdominal pain,c0291771,alosetron hydrochloride
c0000737,pain abdominal,c0291771,alosetron hydrochloride
c0000737,pains abdominal,c0291771,alosetron hydrochloride
c0000737,painabdominal,c0291771,alosetron hydrochloride
c0000737,pain abdominal,c0291771,alosetron hydrochloride
c0000737,abdominal pain,c0291771,alosetron hydrochloride
c0000737,pain abdominal,c0291771,alosetron hydrochloride
c0000768,abnormality congenital,c0718043,sacrosidase
c0000768,congenital abnormality nos,c0718043,sacrosidase
c0000768,congenital abnormalities,c0718043,sacrosidase
c0000768,congenital abnormality,c0718043,sacrosidase
c0000768,congenital abnormality nos,c0718043,sacrosidase
c0000768,abnormalities congenital,c0718043,sacrosidase
c0000771,abnormalities drug induced,c0003830,trihexyphenidyl hydrochloride
c0000771,abnormalities druginduced,c0003830,trihexyphenidyl hydrochloride
c0000771,abnormality druginduced,c0003830,trihexyphenidyl hydrochloride
c0000771,drug induced abnormalities,c0003830,trihexyphenidyl hydrochloride
c0000771,druginduced abnormality,c0003830,trihexyphenidyl hydrochloride
c0000771,druginduced abnormalities,c0003830,trihexyphenidyl hydrochloride
c0000810,incomplete spontaneous abortion,c0007047,carboprost
c0000810,incomplete spontaneous abortion nos,c0007047,carboprost
c0000810,abortion spontaneous incomplete nos,c0007047,carboprost
c0000810,abortion spontaneous incomplete,c0007047,carboprost
c0000833,abscesses,c0007555,cefotetan
c0000833,abscess,c0007555,cefotetan
c0000833,abscess nos,c0007555,cefotetan
c0000880,acanthamoeba keratitides,c0022625,ketoconazole
c0000880,acanthamoeba keratitis,c0022625,ketoconazole
c0000880,keratitides acanthamoeba,c0022625,ketoconazole
c0000880,acanthameba keratitis,c0022625,ketoconazole
c0000880,keratitis acanthamoeba,c0022625,ketoconazole
c0001122,acidoses,c0003765,arginine
c0001122,acidosis,c0003765,arginine
c0001122,acidosis nos,c0003765,arginine
c0001122,acidosis nos,c0003765,arginine
c0001126,acidosis renal tubular,c0055819,citric acid
c0001126,acidosis renal tubular,c0055819,citric acid
c0001126,acidosis renal tubular,c0055819,citric acid
c0001126,renal acidosis tubular,c0055819,citric acid
c0001126,renal tubular acidosis nos,c0055819,citric acid
c0001126,renal tubular acidosis,c0055819,citric acid
c0001126,renal tubular acidosis nos,c0055819,citric acid
c0001126,acidosis tubular renal,c0055819,citric acid
c0001126,tubular renal acidosis,c0055819,citric acid
c0001126,tubular acidosis renal,c0055819,citric acid
c0001139,acinetobacter infection,c0002499,amikacin
c0001139,acinetobacter infections,c0002499,amikacin
c0001139,infection acinetobacter,c0002499,amikacin
c0001139,infections acinetobacter,c0002499,amikacin
c0001144,acne vulgaris,c0005088,benzoyl peroxide
c0001144,acnevulgaris,c0005088,benzoyl peroxide
c0001144,vulgaris  acne,c0005088,benzoyl peroxide
c0001144,acne vulgaris,c0005088,benzoyl peroxide
c0001144,vulgaris acne,c0005088,benzoyl peroxide
c0001144,acne vulgaris,c0005088,benzoyl peroxide
c0001175,acquired immunodeficiency syndrome,c0012132,zalcitabine
c0001175,acquired immunodeficiency syndromes,c0012132,zalcitabine
c0001175,immunodeficiency syndromes acquired,c0012132,zalcitabine
c0001175,syndrome acquired immunodeficiency,c0012132,zalcitabine
c0001175,syndromes acquired immunodeficiency,c0012132,zalcitabine
c0001175,acquired immunodeficiency syndrome nos,c0012132,zalcitabine
c0001175,acquired immunodeficiency syndrome nos,c0012132,zalcitabine
c0001175,immunodeficiency syndrome acquired,c0012132,zalcitabine
c0001175,acquired immunodeficiency syndrome,c0012132,zalcitabine
c0001206,acromegaly,c0006230,bromocriptine
c0001255,actinomycetales infections,c0008947,clindamycin
c0001255,infection actinomycetales,c0008947,clindamycin
c0001255,actinomycetales infection,c0008947,clindamycin
c0001255,infections actinomycetales,c0008947,clindamycin
c0001261,actinomycoses,c0002645,amoxicillin
c0001261,actinomycosis,c0002645,amoxicillin
c0001261,actinomycosis nos,c0002645,amoxicillin
c0001261,actinomycosis nos,c0002645,amoxicillin
c0001396,stokes adams syndrome,c0022245,isoproterenol
c0001396,syndrome adamsstokes,c0022245,isoproterenol
c0001396,syndrome stokesadams,c0022245,isoproterenol
c0001396,adams stokes syndrome,c0022245,isoproterenol
c0001396,adamsstokes syndrome,c0022245,isoproterenol
c0001396,stokesadams syndrome,c0022245,isoproterenol
c0001396,syndrome adamsstokes,c0022245,isoproterenol
c0001396,syndrome stokesadams,c0022245,isoproterenol
c0001396,adams stoke syndrome,c0022245,isoproterenol
c0001396,stoke adams syndrome,c0022245,isoproterenol
c0001396,adamstokes syndrome,c0022245,isoproterenol
c0001403,disease addison,c0011777,dexamethasone
c0001403,addisons disease,c0011777,dexamethasone
c0001403,disease addisons,c0011777,dexamethasone
c0001403,addisons disease nos,c0011777,dexamethasone
c0001403,addisons disease nos,c0011777,dexamethasone
c0001403,addison disease,c0011777,dexamethasone
c0001403,diseaseaddisons,c0011777,dexamethasone
c0001403,addisons disease,c0011777,dexamethasone
c0001418,adenocarcinomas,c0002475,mitomycin
c0001418,adenocarcinoma nos,c0002475,mitomycin
c0001418,adenocarcinoma,c0002475,mitomycin
c0001418,adenocarcinoma nos,c0002475,mitomycin
c0001430,adenomas,c0006230,bromocriptine
c0001430,adenoma,c0006230,bromocriptine
c0001430,adenoma nos,c0006230,bromocriptine
c0001430,adenoma nos,c0006230,bromocriptine
c0001487,adenovirus infection human,c0035525,ribavirin
c0001487,adenovirus infections human,c0035525,ribavirin
c0001487,human adenovirus infection,c0035525,ribavirin
c0001487,infection human adenovirus,c0035525,ribavirin
c0001487,infections human adenovirus,c0035525,ribavirin
c0001487,human adenovirus infections,c0035525,ribavirin
c0001622,hyperfunction adrenal gland,c0016280,fludrocortisone
c0001622,adrenal gland hyperfunction,c0016280,fludrocortisone
c0001623,hypofunction adrenal gland,c0010137,cortisone
c0001623,adrenal gland hypofunction,c0010137,cortisone
c0001627,adrenal hyperplasia congenital,c0020268,hydrocortisone
c0001627,adrenal hyperplasias congenital,c0020268,hydrocortisone
c0001627,congenital adrenal hyperplasias,c0020268,hydrocortisone
c0001627,hyperplasias congenital adrenal,c0020268,hydrocortisone
c0001627,congenital adrenal hyperplasia,c0020268,hydrocortisone
c0001627,congenital adrenal hyperplasia nos,c0020268,hydrocortisone
c0001627,adrenal hyperplasia congenital,c0020268,hydrocortisone
c0001627,hyperplasia congenital adrenal,c0020268,hydrocortisone
c0001627,adrenal congenital hyperplasia,c0020268,hydrocortisone
c0001627,hyperplasia adrenal congenital,c0020268,hydrocortisone
c0001627,hyperplasia congenital adrenal,c0020268,hydrocortisone
